eta,side,x_over_c,cp
0.99,upper,0.00000,-0.250623
0.99,upper,0.00825,-0.210445
0.99,upper,0.02400,-0.695335
0.99,upper,0.03888,-0.740273
0.99,upper,0.04618,-0.508080
0.99,upper,0.06428,-0.707380
0.99,upper,0.08918,-0.491233
0.99,upper,0.11775,-0.465423
0.99,upper,0.14917,-0.358848
0.99,upper,0.18010,-0.433631
0.99,upper,0.21287,-0.332421
0.99,upper,0.24526,-0.342942
0.99,upper,0.27823,-0.305796
0.99,upper,0.31059,-0.294063
0.99,upper,0.34370,-0.222669
0.99,upper,0.37602,-0.318562
0.99,upper,0.40952,-0.265565
0.99,upper,0.44191,-0.226019
0.99,upper,0.47419,-0.205280
0.99,upper,0.50725,-0.316524
0.99,upper,0.54002,-0.253219
0.99,upper,0.57242,-0.161208
0.99,upper,0.60570,-0.163797
0.99,upper,0.63768,-0.191700
0.99,upper,0.67002,-0.134936
0.99,upper,0.70239,-0.119935
0.99,upper,0.73527,-0.122729
0.99,upper,0.76694,-0.139743
0.99,upper,0.80163,-0.105143
0.99,upper,0.83663,-0.110573
0.99,upper,0.86678,-0.079121
0.99,upper,0.89779,-0.050052
0.99,upper,0.91945,-0.030697
0.99,upper,0.94272,-0.249280
0.99,upper,0.96041,-0.043196
0.99,upper,0.97915,-0.021628
0.99,upper,1.00000,-0.081639
0.99,lower,0.00114,0.344082
0.99,lower,0.00918,0.462219
0.99,lower,0.01688,-0.263962
0.99,lower,0.02965,-0.437919
0.99,lower,0.04548,-0.227108
0.99,lower,0.06465,-0.277883
0.99,lower,0.08979,-0.253215
0.99,lower,0.11774,-0.302307
0.99,lower,0.14835,-0.297168
0.99,lower,0.17986,-0.285799
0.99,lower,0.21275,-0.212001
0.99,lower,0.24562,-0.243109
0.99,lower,0.27849,-0.272517
0.99,lower,0.31064,-0.240212
0.99,lower,0.34368,-0.138065
0.99,lower,0.37615,-0.239494
0.99,lower,0.40880,-0.213766
0.99,lower,0.44086,-0.180427
0.99,lower,0.47317,-0.137395
0.99,lower,0.50617,-0.226403
0.99,lower,0.54000,-0.099590
0.99,lower,0.57741,-0.048137
0.99,lower,0.60788,-0.163183
0.99,lower,0.63874,-0.175233
0.99,lower,0.67013,-0.130919
0.99,lower,0.69986,-0.099018
0.99,lower,0.73527,-0.118738
0.99,lower,0.76883,-0.070132
0.99,lower,0.80177,0.000202
0.99,lower,0.83555,0.019979
0.99,lower,0.86737,-0.097282
0.99,lower,0.89772,-0.036316
0.99,lower,0.91945,0.033678
0.99,lower,0.94273,0.073512
0.99,lower,0.96043,-0.222217
0.99,lower,0.97915,0.060412
0.99,lower,1.00000,-0.472506
