idx,sigma,sigma_rel_max
316,2.0545867522871425e-03,2.0545863049669867e-03
317,2.0347755918043312e-03,2.0347751487974183e-03
318,2.0149837823517846e-03,2.0149833436539010e-03
319,2.0051459492625981e-03,2.0051455127065862e-03
320,1.9635219035801085e-03,1.9635214760863932e-03
321,1.9363808754117189e-03,1.9363804538270893e-03
322,1.9152877741817013e-03,1.9152873571894157e-03
323,1.9103615306172669e-03,1.9103611146975125e-03
324,1.8902698319657725e-03,1.8902694204203389e-03
325,1.8860959512653746e-03,1.8860955406286692e-03
326,1.8567836951238204e-03,1.8567832908689156e-03
327,1.8561163411833742e-03,1.8561159370737643e-03
328,1.8221594443309690e-03,1.8221590476143808e-03
329,1.8008482245983736e-03,1.8008478325216178e-03
330,1.7892689964254700e-03,1.7892686068697186e-03
331,1.7752174578155187e-03,1.7752170713190376e-03
332,1.7550574096459495e-03,1.7550570275386703e-03
333,1.7461504033803876e-03,1.7461500232123224e-03
334,1.7135012234412649e-03,1.7135008503815080e-03
335,1.7127093101631629e-03,1.7127089372758197e-03
336,1.6917102917529338e-03,1.6917099234374511e-03
337,1.6787702675514842e-03,1.6787699020532755e-03
338,1.6554684524198301e-03,1.6554680919948419e-03
339,1.6392813918334303e-03,1.6392810349326536e-03
340,1.6383884808858992e-03,1.6383881241795251e-03
341,1.6186562749739872e-03,1.6186559225636660e-03
342,1.6097452906338383e-03,1.6097449401635973e-03
343,1.6001924547485074e-03,1.6001921063580891e-03
344,1.5828440567382731e-03,1.5828437121249103e-03
345,1.5699727377854586e-03,1.5699723959744112e-03
346,1.5531914261070535e-03,1.5531910879495968e-03
347,1.5467643649359011e-03,1.5467640281777303e-03
348,1.5409429356045396e-03,1.5409426001137976e-03
349,1.5209982082244021e-03,1.5209978770759826e-03
350,1.5167471708408601e-03,1.5167468406179674e-03
351,1.5093161175174592e-03,1.5093157889124393e-03
352,1.4950062225837848e-03,1.4950058970942840e-03
353,1.4815421370286245e-03,1.4815418144704950e-03
354,1.4772437121447904e-03,1.4772433905225048e-03
355,1.4549670920327835e-03,1.4549667752605151e-03
356,1.4514588541582486e-03,1.4514585381497861e-03
357,1.4359925122250880e-03,1.4359921995839237e-03
358,1.4321205406588337e-03,1.4321202288606668e-03
359,1.4283100701922254e-03,1.4283097592236657e-03
360,1.4173043232774529e-03,1.4173040147050404e-03
361,1.4019134007557804e-03,1.4019130955342462e-03
362,1.3986206014902701e-03,1.3986202969856370e-03
363,1.3949489426409590e-03,1.3949486389357114e-03
364,1.3824336225103776e-03,1.3824333215299383e-03
365,1.3675559196086979e-03,1.3675556218673997e-03
366,1.3655277748591626e-03,1.3655274775594276e-03
367,1.3598758979877429e-03,1.3598756019185224e-03
368,1.3409746546840947e-03,1.3409743627300116e-03
369,1.3352755086628281e-03,1.3352752179495507e-03
370,1.3270190835821742e-03,1.3270187946664677e-03
371,1.3251895093147044e-03,1.3251892207973288e-03
372,1.3184631659578219e-03,1.3184628789048912e-03
373,1.3068436248903587e-03,1.3068433403672091e-03
374,1.2939226687110849e-03,1.2939223870010578e-03
375,1.2925449600157248e-03,1.2925446786056494e-03
376,1.2868678038119928e-03,1.2868675236379354e-03
377,1.2779532059741822e-03,1.2779529277409918e-03
378,1.2715332857623559e-03,1.2715330089268964e-03
379,1.2635560564508831e-03,1.2635557813522088e-03
380,1.2608591505861365e-03,1.2608588760746266e-03
381,1.2589203370731640e-03,1.2589200629837683e-03
382,1.2538792027886564e-03,1.2538789297968055e-03
383,1.2483315259349602e-03,1.2483312541509374e-03
384,1.2340611265626231e-03,1.2340608578855206e-03
385,1.2264548448214713e-03,1.2264545778003920e-03
386,1.2212456920714409e-03,1.2212454261844869e-03
387,1.2198424285312756e-03,1.2198421629498371e-03
388,1.2092697402600594e-03,1.2092694769804836e-03
389,1.2061967951179889e-03,1.2061965325074480e-03
390,1.2042253687748561e-03,1.2042251065935300e-03
391,1.1973717304872330e-03,1.1973714697980659e-03
392,1.1860715831777044e-03,1.1860713249487809e-03
393,1.1859981232953565e-03,1.1859978650824265e-03
394,1.1802140846435966e-03,1.1802138276899548e-03
395,1.1788574125490712e-03,1.1788571558908013e-03
396,1.1707828959395250e-03,1.1707826410392213e-03
397,1.1661869839656247e-03,1.1661867300659329e-03
398,1.1576833408120622e-03,1.1576830887637651e-03
399,1.1568575400267669e-03,1.1568572881582612e-03
400,1.1448694371265584e-03,1.1448691878680765e-03
401,1.1428966967159536e-03,1.1428964478869723e-03
402,1.1365454020862995e-03,1.1365451546401083e-03
403,1.1302402658417035e-03,1.1302400197682528e-03
404,1.1232831637156045e-03,1.1232829191568389e-03
405,1.1179890096304696e-03,1.1179887662243358e-03
406,1.1164253244940697e-03,1.1164250814283780e-03
407,1.1072669974348274e-03,1.1072667563630668e-03
408,1.1032347618371886e-03,1.1032345216433175e-03
409,1.1019261172908500e-03,1.1019258773818943e-03
410,1.0897573778733977e-03,1.0897571406137934e-03
411,1.0855053528547591e-03,1.0855051165208963e-03
412,1.0802951757678861e-03,1.0802949405683718e-03
413,1.0762823661006648e-03,1.0762821317748107e-03
414,1.0684621068349524e-03,1.0684618742117082e-03
415,1.0633235834094678e-03,1.0633233519049717e-03
416,1.0600882043086889e-03,1.0600879735085925e-03
417,1.0496883355824713e-03,1.0496881070466116e-03
418,1.0496195064385668e-03,1.0496192779176924e-03
419,1.0433230133070736e-03,1.0433227861570580e-03
420,1.0369371812850654e-03,1.0369369555253594e-03
421,1.0311902582863020e-03,1.0311900337778034e-03
422,1.0248014758267694e-03,1.0248012527092226e-03
423,1.0222671550821213e-03,1.0222669325163412e-03
424,1.0152205961709601e-03,1.0152203751393415e-03
