state,arm,eta,foot,j1,d,sat
W M0.76,S2,0.65,0.2049208356173386,0.22080039520713624,-0.015879559589797643,0
W M0.76,S2,0.8,0.1995043715365141,0.19837389285581794,0.0011304786806961564,0
W M0.76,S2,0.9,0.21397731049088595,0.18512968070615557,0.028847629784730378,0
W M0.76,S2,0.96,0.17447455675457713,0.14893793943010655,0.025536617324470573,0
W M0.76,S2,0.99,0.13317430251434,0.08296773969575051,0.0502065628185895,0
W M0.76,S3,0.44,0.19642665781655244,0.17779935827254914,0.0186272995440033,0
W M0.76,S3,0.65,0.20234678999021552,0.22080039520713624,-0.018453605216920715,0
W M0.76,S3,0.8,0.1995043715365141,0.19837389285581794,0.0011304786806961564,0
W M0.76,S3,0.9,0.19525172430084126,0.18512968070615557,0.010122043594685687,0
W M0.76,S3,0.96,0.1639735940101274,0.14893793943010655,0.015035654580020846,0
W M0.76,S3,0.99,0.13016319441593138,0.08296773969575051,0.04719545472018087,0
W M0.78,P0,0.2,0.3972202766165634,0.39956321318342125,-0.002342936566857856,0
W M0.78,P0,0.44,0.42080969343746993,0.3975518828115314,0.023257810625938513,0
W M0.78,P0,0.65,0.37764590801220843,0.35986938579084743,0.017776522221361002,0
W M0.78,P0,0.8,0.9783472120176484,0.29573910690159105,0.6826081051160573,1
W M0.78,P0,0.9,0.2589153628639305,0.2335662222796183,0.02534914058431223,0
W M0.78,P0,0.96,0.9856717028026137,0.17069770758907693,0.8149739952135369,1
W M0.78,P0,0.99,0.9785004028722927,0.10914388443267178,0.8693565184396209,1
W M0.78,P1,0.2,0.3972202766165634,0.39956321318342125,-0.002342936566857856,0
W M0.78,P1,0.44,0.37901902906025664,0.3975518828115314,-0.01853285375127478,0
W M0.78,P1,0.65,0.3462534265694207,0.35986938579084743,-0.013615959221426721,0
W M0.78,P1,0.8,0.2857509785347183,0.29573910690159105,-0.00998812836687274,0
W M0.78,P1,0.9,0.27108494588532045,0.2335662222796183,0.03751872360570216,0
W M0.78,P1,0.96,0.20228103212804013,0.17069770758907693,0.0315833245389632,0
W M0.78,P1,0.99,0.9738007765786793,0.10914388443267178,0.8646568921460075,1
W M0.78,P2,0.2,0.39688188025271726,0.39956321318342125,-0.0026813329307039946,0
W M0.78,P2,0.44,0.37901902906025664,0.3975518828115314,-0.01853285375127478,0
W M0.78,P2,0.65,0.3309865929536707,0.35986938579084743,-0.028882792837176707,0
W M0.78,P2,0.8,0.3059953267734766,0.29573910690159105,0.010256219871885519,0
W M0.78,P2,0.9,0.27108494588532045,0.2335662222796183,0.03751872360570216,0
W M0.78,P2,0.96,0.20228103212804013,0.17069770758907693,0.0315833245389632,0
W M0.78,P2,0.99,0.1561843297661347,0.10914388443267178,0.04704044533346291,0
W M0.78,P3,0.44,0.36229787403012437,0.3975518828115314,-0.035254008781407054,0
W M0.78,P3,0.65,0.3309865929536707,0.35986938579084743,-0.028882792837176707,0
W M0.78,P3,0.8,0.2857509785347183,0.29573910690159105,-0.00998812836687274,0
W M0.78,P3,0.9,0.2589153628639305,0.2335662222796183,0.02534914058431223,0
W M0.78,P3,0.96,0.20228103212804013,0.17069770758907693,0.0315833245389632,0
W M0.78,P3,0.99,0.1561843297661347,0.10914388443267178,0.04704044533346291,0
W M0.78,S1,0.2,0.3972202766165634,0.39956321318342125,-0.002342936566857856,0
W M0.78,S1,0.44,0.36229787403012437,0.3975518828115314,-0.035254008781407054,0
W M0.78,S1,0.65,0.3500874510560189,0.35986938579084743,-0.009781934734828523,0
W M0.78,S1,0.8,0.2857509785347183,0.29573910690159105,-0.00998812836687274,0
W M0.78,S1,0.9,0.27108494588532045,0.2335662222796183,0.03751872360570216,0
W M0.78,S1,0.96,0.9856717028026137,0.17069770758907693,0.8149739952135369,1
W M0.78,S1,0.99,0.9785004028722927,0.10914388443267178,0.8693565184396209,1
W M0.78,S2,0.2,0.15438483005628267,0.39956321318342125,-0.24517838312713858,0
W M0.78,S2,0.44,0.36229787403012437,0.3975518828115314,-0.035254008781407054,0
W M0.78,S2,0.65,0.32629112206342586,0.35986938579084743,-0.033578263727421565,0
W M0.78,S2,0.8,0.2857509785347183,0.29573910690159105,-0.00998812836687274,0
W M0.78,S2,0.9,0.2506719044554258,0.2335662222796183,0.01710568217580752,0
W M0.78,S2,0.96,0.20228103212804013,0.17069770758907693,0.0315833245389632,0
W M0.78,S2,0.99,0.1561843297661347,0.10914388443267178,0.04704044533346291,0
