s_from_te,ds_wake_l05,ds_wake_l10,ds_wake_l20
10.392432,4.479321e-03,4.475835e-03,4.485500e-03
10.422415,4.479321e-03,4.475833e-03,4.485323e-03
10.452397,4.479321e-03,4.475831e-03,4.485150e-03
10.482379,4.479321e-03,4.475830e-03,4.484979e-03
10.512361,4.479321e-03,4.475828e-03,4.484810e-03
10.542344,4.479321e-03,4.475826e-03,4.484644e-03
10.572326,4.479321e-03,4.475824e-03,4.484481e-03
10.602308,4.479321e-03,4.475823e-03,4.484319e-03
10.632290,4.479321e-03,4.475821e-03,4.484161e-03
10.662273,4.479321e-03,4.475820e-03,4.484004e-03
10.692255,4.479321e-03,4.475818e-03,4.483850e-03
10.722237,4.479321e-03,4.475817e-03,4.483699e-03
10.752219,4.479321e-03,4.475815e-03,4.483549e-03
10.782201,4.479321e-03,4.475814e-03,4.483402e-03
10.812184,4.479321e-03,4.475813e-03,4.483257e-03
10.842166,4.479321e-03,4.475812e-03,4.483114e-03
10.872148,4.479321e-03,4.475810e-03,4.482973e-03
10.902130,4.479321e-03,4.475809e-03,4.482834e-03
10.932113,4.479321e-03,4.475808e-03,4.482698e-03
10.962095,4.479321e-03,4.475807e-03,4.482563e-03
10.992077,4.479321e-03,4.475806e-03,4.482431e-03
11.022059,4.479321e-03,4.475805e-03,4.482300e-03
11.052042,4.479321e-03,4.475804e-03,4.482171e-03
11.082024,4.479321e-03,4.475803e-03,4.482045e-03
11.112006,4.479321e-03,4.475802e-03,4.481920e-03
11.141988,4.479321e-03,4.475801e-03,4.481797e-03
11.171971,4.479321e-03,4.475800e-03,4.481676e-03
11.201953,4.479321e-03,4.475799e-03,4.481556e-03
11.231935,4.479321e-03,4.475798e-03,4.481439e-03
11.261917,4.479321e-03,4.475797e-03,4.481323e-03
11.291900,4.479321e-03,4.475796e-03,4.481209e-03
11.321882,4.479321e-03,4.475796e-03,4.481096e-03
11.351864,4.479321e-03,4.475795e-03,4.480985e-03
11.381846,4.479321e-03,4.475794e-03,4.480876e-03
11.411829,4.479321e-03,4.475793e-03,4.480769e-03
11.441811,4.479321e-03,4.475793e-03,4.480663e-03
11.471793,4.479321e-03,4.475792e-03,4.480559e-03
11.501775,4.479321e-03,4.475791e-03,4.480456e-03
11.531758,4.479321e-03,4.475791e-03,4.480355e-03
11.561740,4.479321e-03,4.475790e-03,4.480255e-03
11.591722,4.479321e-03,4.475789e-03,4.480157e-03
11.621704,4.479321e-03,4.475789e-03,4.480060e-03
11.651687,4.479321e-03,4.475788e-03,4.479965e-03
11.681669,4.479321e-03,4.475788e-03,4.479871e-03
11.711651,4.479321e-03,4.475787e-03,4.479778e-03
11.741633,4.479321e-03,4.475787e-03,4.479687e-03
11.771616,4.479321e-03,4.475786e-03,4.479597e-03
11.801598,4.479321e-03,4.475786e-03,4.479509e-03
11.831580,4.479321e-03,4.475785e-03,4.479422e-03
11.861562,4.479321e-03,4.475785e-03,4.479336e-03
11.891545,4.479321e-03,4.475784e-03,4.479251e-03
11.921527,4.479321e-03,4.475784e-03,4.479168e-03
11.951509,4.479321e-03,4.475783e-03,4.479086e-03
11.981491,4.479321e-03,4.475783e-03,4.479005e-03
12.011474,4.479321e-03,4.475783e-03,4.478925e-03
12.041456,4.479321e-03,4.475782e-03,4.478847e-03
12.071438,4.479321e-03,4.475782e-03,4.478770e-03
12.101420,4.479321e-03,4.475782e-03,4.478693e-03
12.131403,4.479321e-03,4.475781e-03,4.478618e-03
12.161385,4.479321e-03,4.475781e-03,4.478544e-03
12.191367,4.479321e-03,4.475780e-03,4.478472e-03
12.221349,4.479321e-03,4.475780e-03,4.478400e-03
12.251332,4.479321e-03,4.475780e-03,4.478329e-03
12.281314,4.479321e-03,4.475780e-03,4.478260e-03
12.311296,4.479321e-03,4.475779e-03,4.478191e-03
12.341278,4.479321e-03,4.475779e-03,4.478124e-03
12.371261,4.479321e-03,4.475779e-03,4.478057e-03
12.401243,4.479321e-03,4.475778e-03,4.477992e-03
12.431225,4.479321e-03,4.475778e-03,4.477927e-03
12.461207,4.479321e-03,4.475778e-03,4.477863e-03
12.491190,4.479321e-03,4.475778e-03,4.477801e-03
12.521172,4.479321e-03,4.475777e-03,4.477739e-03
12.551154,4.479321e-03,4.475777e-03,4.477678e-03
12.581136,4.479321e-03,4.475777e-03,4.477618e-03
12.611118,4.479321e-03,4.475777e-03,4.477559e-03
12.641101,4.479321e-03,4.475777e-03,4.477501e-03
12.671083,4.479321e-03,4.475776e-03,4.477444e-03
12.701065,4.479321e-03,4.475776e-03,4.477388e-03
12.731047,4.479321e-03,4.475776e-03,4.477332e-03
12.761030,4.479321e-03,4.475776e-03,4.477277e-03
12.791012,4.479321e-03,4.475776e-03,4.477223e-03
12.820994,4.479321e-03,4.475775e-03,4.477170e-03
12.850976,4.479321e-03,4.475775e-03,4.477118e-03
12.880959,4.479321e-03,4.475775e-03,4.477066e-03
12.910941,4.479321e-03,4.475775e-03,4.477015e-03
12.940923,4.479321e-03,4.475775e-03,4.476965e-03
12.970905,4.479321e-03,4.475775e-03,4.476916e-03
13.000888,4.479321e-03,4.475774e-03,4.476868e-03
13.030870,4.479321e-03,4.475774e-03,4.476820e-03
13.060852,4.479321e-03,4.475774e-03,4.476773e-03
13.090834,4.479321e-03,4.475774e-03,4.476726e-03
13.120817,4.479321e-03,4.475774e-03,4.476680e-03
13.150799,4.479321e-03,4.475774e-03,4.476635e-03
13.180781,4.479321e-03,4.475774e-03,4.476591e-03
13.210763,4.479321e-03,4.475774e-03,4.476547e-03
13.240746,4.479321e-03,4.475773e-03,4.476504e-03
13.270728,4.479321e-03,4.475773e-03,4.476462e-03
13.300710,4.479321e-03,4.475773e-03,4.476420e-03
13.330692,4.479321e-03,4.475773e-03,4.476379e-03
13.360675,4.479321e-03,4.475773e-03,4.476338e-03
13.390657,4.479321e-03,4.475773e-03,4.476298e-03
13.420639,4.479321e-03,4.475773e-03,4.476259e-03
13.450621,4.479321e-03,4.475773e-03,4.476220e-03
13.480604,4.479321e-03,4.475773e-03,4.476182e-03
13.510586,4.479321e-03,4.475773e-03,4.476144e-03
13.540568,4.479321e-03,4.475772e-03,4.476107e-03
13.570550,4.479321e-03,4.475772e-03,4.476071e-03
13.600533,4.479321e-03,4.475772e-03,4.476035e-03
13.630515,4.479321e-03,4.475772e-03,4.475999e-03
13.660497,4.479321e-03,4.475772e-03,4.475964e-03
13.690479,4.479321e-03,4.475772e-03,4.475930e-03
13.720462,4.479321e-03,4.475772e-03,4.475896e-03
13.750444,4.479321e-03,4.475772e-03,4.475863e-03
13.780426,4.479321e-03,4.475772e-03,4.475830e-03
13.810408,4.479321e-03,4.475772e-03,4.475797e-03
13.840391,4.479321e-03,4.475772e-03,4.475765e-03
13.870373,4.479321e-03,4.475772e-03,4.475734e-03
13.900355,4.479321e-03,4.475772e-03,4.475703e-03
13.930337,4.479321e-03,4.475772e-03,4.475672e-03
13.960320,4.479321e-03,4.475771e-03,4.475642e-03
13.990302,4.479321e-03,4.475771e-03,4.475613e-03
