leg,nx,C,x,flux_over_mdot
regular,160,1.0,3.3125,1.052805
regular,160,1.0,3.3375,1.052805
regular,160,1.0,3.3625,1.052805
regular,160,1.0,3.3875,1.052805
regular,160,1.0,3.4125,1.052805
regular,160,1.0,3.4375,1.052805
regular,160,1.0,3.4625,1.052805
regular,160,1.0,3.4875,1.052805
regular,160,1.0,3.5125,1.052805
regular,160,1.0,3.5375,1.052805
regular,160,1.0,3.5625,1.052805
regular,160,1.0,3.5875,1.052805
regular,160,1.0,3.6125,1.052805
regular,160,1.0,3.6375,1.052805
regular,160,1.0,3.6625,1.052805
regular,160,1.0,3.6875,1.052805
regular,160,1.0,3.7125,1.052805
regular,160,1.0,3.7375,1.052805
regular,160,1.0,3.7625,1.052805
regular,160,1.0,3.7875,1.052805
regular,160,1.0,3.8125,1.052805
regular,160,1.0,3.8375,1.052805
regular,160,1.0,3.8625,1.052805
regular,160,1.0,3.8875,1.052805
regular,160,1.0,3.9125,1.052805
regular,160,1.0,3.9375,1.052805
regular,160,1.0,3.9625,1.052805
regular,160,1.0,3.9875,1.052805
regular,160,1.5,0.0125,1.05429
regular,160,1.5,0.0375,1.05429
regular,160,1.5,0.0625,1.05429
regular,160,1.5,0.0875,1.05429
regular,160,1.5,0.1125,1.05429
regular,160,1.5,0.1375,1.05429
regular,160,1.5,0.1625,1.05429
regular,160,1.5,0.1875,1.05429
regular,160,1.5,0.2125,1.05429
regular,160,1.5,0.2375,1.05429
regular,160,1.5,0.2625,1.05429
regular,160,1.5,0.2875,1.05429
regular,160,1.5,0.3125,1.05429
regular,160,1.5,0.3375,1.05429
regular,160,1.5,0.3625,1.05429
regular,160,1.5,0.3875,1.05429
regular,160,1.5,0.4125,1.05429
regular,160,1.5,0.4375,1.05429
regular,160,1.5,0.4625,1.05429
regular,160,1.5,0.4875,1.05429
regular,160,1.5,0.5125,1.05429
regular,160,1.5,0.5375,1.05429
regular,160,1.5,0.5625,1.05429
regular,160,1.5,0.5875,1.05429
regular,160,1.5,0.6125,1.05429
regular,160,1.5,0.6375,1.05429
regular,160,1.5,0.6625,1.05429
regular,160,1.5,0.6875,1.05429
regular,160,1.5,0.7125,1.05429
regular,160,1.5,0.7375,1.05429
regular,160,1.5,0.7625,1.05429
regular,160,1.5,0.7875,1.05429
regular,160,1.5,0.8125,1.05429
regular,160,1.5,0.8375,1.05429
regular,160,1.5,0.8625,1.05429
regular,160,1.5,0.8875,1.05429
regular,160,1.5,0.9125,1.05429
regular,160,1.5,0.9375,1.05429
regular,160,1.5,0.9625,1.05429
regular,160,1.5,0.9875,1.05429
regular,160,1.5,1.0125,1.05429
