state,arm,eta,x_percell,x_subcell
W M0.8395,P3,0.99,0.9738007765786793,0.9738038424659612
W M0.8395,S1,0.2,0.6705342486594731,0.6713095780534136
W M0.8395,S1,0.44,0.6123522059682991,0.6124185753650107
W M0.8395,S1,0.65,0.5759128677684422,0.5764758263960287
W M0.8395,S1,0.8,0.5071503772526418,0.5071521730401882
W M0.8395,S1,0.9,0.44511257595808695,0.4452946338818318
W M0.8395,S1,0.96,0.9856717028026137,0.9858611372652106
W M0.8395,S1,0.99,0.9785004028722927,0.9785275492289239
W M0.8395,S2,0.2,0.6705342486594731,0.6713299783481371
W M0.8395,S2,0.44,0.6123522059682991,0.6124214300821341
W M0.8395,S2,0.65,0.5759128677684422,0.5762329694808078
W M0.8395,S2,0.8,0.503287755180331,0.5066577997774531
W M0.8395,S2,0.9,0.447188836513951,0.4472636148660525
W M0.8395,S2,0.96,0.9856717028026137,0.9857859587037657
W M0.8395,S2,0.99,0.9785004028722927,0.978508678621437
W M0.8395,S3,0.2,0.6705342486594731,0.6711363207485933
W M0.8395,S3,0.44,0.6123522059682991,0.6123933318046509
W M0.8395,S3,0.65,0.5588406787652771,0.5596373521783023
W M0.8395,S3,0.8,0.503287755180331,0.5070155973051325
W M0.8395,S3,0.9,0.447188836513951,0.4471917529473915
W M0.8395,S3,0.96,0.368380241910572,0.3685763637013984
W M0.8395,S3,0.99,0.9753346931603681,0.9753545570317439
W M0.86,P0,0.2,0.7434305362080408,0.7435067216421481
W M0.86,P0,0.44,0.6766451347077229,0.6768331421115898
W M0.86,P0,0.65,0.637603299419519,0.6376160616729565
W M0.86,P0,0.8,0.9841854235306934,0.9853184936792004
W M0.86,P0,0.9,0.5368279222329849,0.5368873326300441
W M0.86,P0,0.96,0.9921546889509332,0.9921624528244715
W M0.86,P0,0.99,0.98513756469765,0.9852074795289254
W M0.86,P1,0.2,0.7379938584886239,0.7380635801354178
W M0.86,P1,0.44,0.6766451347077229,0.6767987709983453
W M0.86,P1,0.65,0.637603299419519,0.6376130778664396
W M0.86,P1,0.8,0.5798270803275549,0.5800955846953179
W M0.86,P1,0.9,0.5154345982166968,0.5158301248066515
W M0.86,P1,0.96,0.9920031353257368,0.9920248189678991
W M0.86,P1,0.99,0.9816632691416428,0.981666954065219
W M0.86,P2,0.2,0.7248595611247314,0.7288201763494433
W M0.86,P2,0.44,0.6766451347077229,0.6767296539192166
W M0.86,P2,0.65,0.637603299419519,0.6376038409552703
W M0.86,P2,0.8,0.5751020400613421,0.5751471494377618
W M0.86,P2,0.9,0.5249034476951203,0.5250403010727008
W M0.86,P2,0.96,0.9856717028026137,0.985681619694761
W M0.86,P2,0.99,0.9753346931603681,0.9753972344026305
W M0.86,P3,0.2,0.7379938584886239,0.7380010683797474
W M0.86,P3,0.44,0.6766451347077229,0.6766993152624953
W M0.86,P3,0.65,0.637603299419519,0.637608111601799
W M0.86,P3,0.8,0.5798270803275549,0.579827492175537
W M0.86,P3,0.9,0.5154345982166968,0.5154500913737514
W M0.86,P3,0.96,0.9711054385393004,0.9711743217358831
