node,x_c,side,regime,region,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
40,0.223264,1,turbulent,mid,-1.036305e-07,8.217233e-07,-2.031029e-07,9.772211e-07,7.724576e-09,2.855882e-18,9.772211e-07
41,0.203292,1,turbulent,mid,1.348414e-08,1.491945e-07,1.723207e-07,1.997583e-07,1.898832e-08,1.674553e-17,1.997583e-07
42,0.183336,1,turbulent,mid,-2.837167e-07,-3.033027e-07,-6.850575e-07,-4.327310e-07,1.558471e-08,-1.086817e-17,6.850575e-07
43,0.163403,1,turbulent,mid,-4.893615e-07,-1.017910e-07,-1.196264e-06,-1.286042e-07,1.147566e-09,-7.396879e-17,1.196264e-06
44,0.143504,1,turbulent,mid,-1.939338e-07,2.788660e-07,-5.276723e-07,3.263576e-07,-2.364850e-08,-2.090478e-16,5.276723e-07
45,0.123653,1,turbulent,mid,7.982879e-08,-7.166016e-08,2.524360e-07,-8.814039e-08,4.314642e-09,-4.256872e-16,2.524360e-07
46,0.103870,1,turbulent,mid,-6.367654e-08,2.516257e-08,-1.011295e-07,4.020160e-08,8.767018e-09,-1.301838e-15,1.011295e-07
47,0.084192,1,turbulent,mid,3.128781e-07,2.611743e-08,9.032108e-07,3.853759e-08,1.141351e-08,6.808018e-15,9.032108e-07
48,0.064677,1,turbulent,mid,7.447147e-07,1.921698e-08,2.220340e-06,2.298654e-08,2.754073e-08,-1.263552e-13,2.220340e-06
49,0.045445,1,laminar,le_band,3.136366e-07,5.258123e-09,5.852275e-07,-2.455725e-08,3.247744e-18,0.000000e+00,5.852275e-07
50,0.026780,1,laminar,le_band,5.371302e-07,2.680073e-08,6.579469e-07,9.355044e-09,0.000000e+00,0.000000e+00,6.579469e-07
51,0.009658,1,inflow_pin,le_inflow,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
52,0.009658,-1,inflow_pin,le_inflow,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
53,0.026780,-1,laminar,le_band,1.920802e-07,-7.112462e-08,1.421919e-08,-6.698139e-08,0.000000e+00,0.000000e+00,1.920802e-07
54,0.045445,-1,laminar,le_band,4.718025e-07,3.666338e-07,6.239764e-07,3.178710e-07,0.000000e+00,0.000000e+00,6.239764e-07
55,0.064677,-1,turbulent,mid,3.164661e-07,-7.765816e-07,6.043242e-07,-6.792860e-07,1.168719e-08,-4.275320e-13,7.765816e-07
56,0.084192,-1,turbulent,mid,-1.124562e-07,-6.588305e-07,-5.967436e-07,-6.618344e-07,1.300249e-10,8.134873e-14,6.618344e-07
57,0.103870,-1,turbulent,mid,-8.211289e-08,8.924767e-07,-4.942550e-07,8.585987e-07,-1.974191e-08,1.470353e-13,8.924767e-07
58,0.123653,-1,turbulent,mid,1.333178e-06,-4.586105e-07,2.488299e-06,-4.474825e-07,6.258460e-09,9.314180e-14,2.488299e-06
59,0.143504,-1,turbulent,mid,8.495194e-07,2.629660e-07,1.615218e-06,2.544217e-07,7.842001e-09,3.964293e-15,1.615218e-06
60,0.163403,-1,turbulent,mid,2.902564e-07,1.370241e-07,5.823940e-07,1.082949e-07,7.329555e-09,-9.847686e-16,5.823940e-07
61,0.183336,-1,turbulent,mid,-2.378497e-07,2.093765e-07,-4.502319e-07,2.007343e-07,7.774505e-09,-2.750020e-17,4.502319e-07
62,0.203292,-1,turbulent,mid,-5.632186e-08,-4.673489e-08,-1.133722e-07,-4.404314e-08,6.876910e-09,-1.426513e-16,1.133722e-07
63,0.223264,-1,turbulent,mid,-5.355405e-09,-5.484473e-08,-1.674957e-08,-5.206161e-08,6.472405e-09,-1.586330e-16,5.484473e-08
