section,name_or_node,x_c,side,regime,region,energy_fraction
node,90,0.113749,1,turbulent,mid,2.91312594e-04
node,91,0.103869,1,turbulent,mid,7.45902312e-05
node,92,0.094014,1,turbulent,mid,1.31719987e-04
node,93,0.084190,1,turbulent,mid,3.10457073e-05
node,94,0.074407,1,turbulent,mid,3.45794892e-06
node,95,0.064676,1,turbulent,mid,1.97637798e-05
node,96,0.055012,1,turbulent,mid,7.15289593e-07
node,97,0.045443,1,laminar,le_band,1.65342501e-07
node,98,0.036008,1,laminar,le_band,6.39166978e-08
node,99,0.026778,1,laminar,le_band,2.31090768e-08
node,100,0.017890,1,inflow_pin,le_inflow,7.08701458e-34
node,101,0.009657,1,inflow_pin,le_inflow,2.24712471e-33
node,102,0.002928,1,inflow_pin,le_inflow,3.05033385e-33
node,103,0.002928,-1,inflow_pin,le_inflow,1.51166893e-33
node,104,0.009657,-1,inflow_pin,le_inflow,1.61422138e-33
node,105,0.017890,-1,inflow_pin,le_inflow,2.74278023e-33
node,106,0.026778,-1,laminar,le_band,8.06098716e-07
node,107,0.036008,-1,laminar,le_band,3.23179091e-06
node,108,0.045443,-1,laminar,le_band,2.64017423e-05
node,109,0.055012,-1,turbulent,mid,1.12453724e-04
node,110,0.064676,-1,turbulent,mid,9.11716396e-06
node,111,0.074407,-1,turbulent,mid,5.99007642e-06
node,112,0.084190,-1,turbulent,mid,4.50930239e-04
node,113,0.094014,-1,turbulent,mid,9.10811984e-04
node,114,0.103869,-1,turbulent,mid,5.50681161e-04
node,115,0.113749,-1,turbulent,mid,2.79838489e-02
node,116,0.123651,-1,turbulent,mid,2.71426296e-03
node,117,0.133570,-1,turbulent,mid,4.10030352e-03
node,118,0.143503,-1,turbulent,mid,2.19001013e-03
node,119,0.153447,-1,turbulent,mid,2.14112197e-03
node,120,0.163402,-1,turbulent,mid,9.87928262e-03
node,121,0.173365,-1,turbulent,mid,1.91470477e-03
node,122,0.183335,-1,turbulent,mid,4.60284604e-02
node,123,0.193310,-1,turbulent,mid,1.13919577e-03
node,124,0.203291,-1,turbulent,mid,4.61081511e-03
node,125,0.213275,-1,turbulent,mid,1.32510149e-03
