x,phi_minus,phi_plus,jump
15.141071,14.84111975,15.14111975,3.000e-01
15.141071,14.84111976,15.14111976,3.000e-01
15.200892,14.90093313,15.20093313,3.000e-01
15.200892,14.90093313,15.20093313,3.000e-01
15.260714,14.96074651,15.26074651,3.000e-01
15.260714,14.96074652,15.26074652,3.000e-01
15.320535,15.02055985,15.32055985,3.000e-01
15.320535,15.02055985,15.32055985,3.000e-01
15.380357,15.08037326,15.38037326,3.000e-01
15.380357,15.08037323,15.38037323,3.000e-01
15.440178,15.14018663,15.44018663,3.000e-01
15.440178,15.14018663,15.44018663,3.000e-01
15.500000,15.20000000,15.50000000,3.000e-01
15.500000,15.20000000,15.50000000,3.000e-01
