x,y,z,xc_local,z_over_b,side,ds,ds_over_c,H,B,Psi,Ctau1,Ctau2,cf1,pinned,tip_masked
1.019655,0.000000,0.756696,1.0000,0.6325,-1,2.320523e-03,3.981844e-03,1.5492,1.876838e+01,-7.707512e+00,2.408698e-03,-2.653136e-09,1.864831e-03,0,0
1.021688,0.000000,0.763902,1.0000,0.6386,-1,2.597117e-03,4.472782e-03,1.6616,1.516404e+01,-1.756536e-01,2.147767e-03,-1.652466e-09,1.244992e-03,0,0
1.023722,0.000000,0.771109,1.0000,0.6446,-1,2.190376e-03,3.786158e-03,1.5773,4.816063e+00,4.836611e-01,2.084123e-03,6.186912e-09,1.471006e-03,0,0
1.025756,0.000000,0.778316,1.0000,0.6506,-1,2.133842e-03,3.702047e-03,1.5968,1.605875e+01,-8.379051e-01,2.188796e-03,-7.817842e-10,1.481849e-03,0,0
1.027790,0.000000,0.785522,1.0000,0.6566,-1,2.345140e-03,4.083702e-03,1.6286,1.791440e+01,-7.790020e-01,2.036129e-03,-1.627158e-08,1.380627e-03,0,0
1.029824,0.000000,0.792729,1.0000,0.6627,-1,2.359263e-03,4.123567e-03,1.6348,1.090549e+01,4.803207e-02,1.776684e-03,1.785391e-08,1.319170e-03,0,0
1.031857,0.000000,0.799936,1.0000,0.6687,-1,2.222857e-03,3.899651e-03,1.6088,1.574509e+01,-5.872655e-01,1.531334e-03,1.770385e-08,1.424574e-03,0,0
1.033891,0.000000,0.807142,1.0000,0.6747,-1,2.256305e-03,3.973156e-03,1.6056,2.424014e+01,-1.974366e+00,1.517822e-03,-2.613873e-08,1.567695e-03,0,0
1.035925,0.000000,0.814349,1.0000,0.6807,-1,2.489048e-03,4.399473e-03,1.6709,1.826285e+01,-7.102253e-01,1.465676e-03,-1.301129e-08,1.272963e-03,0,0
1.037959,0.000000,0.821555,1.0000,0.6867,-1,2.395969e-03,4.250936e-03,1.6385,-1.469630e+00,1.433858e+00,1.685891e-03,5.210062e-08,1.353106e-03,0,0
1.039992,0.000000,0.828762,1.0000,0.6928,-1,2.197089e-03,3.912847e-03,1.5807,2.311523e+01,-1.913017e+00,1.819567e-03,9.706522e-09,1.618117e-03,0,0
1.042026,0.000000,0.835969,1.0000,0.6988,-1,2.398761e-03,4.288253e-03,1.6449,1.973534e+01,-7.089196e-01,1.844859e-03,-8.957898e-08,1.340059e-03,0,0
1.044060,0.000000,0.843175,1.0000,0.7048,-1,2.388910e-03,4.286944e-03,1.6281,1.795207e+01,-6.451939e-01,1.843449e-03,3.152176e-08,1.366781e-03,0,0
1.046094,0.000000,0.850382,1.0000,0.7108,-1,2.464924e-03,4.440299e-03,1.6519,1.106843e+01,1.649980e-01,1.880014e-03,1.039498e-07,1.268791e-03,0,0
1.048128,0.000000,0.857589,1.0000,0.7169,-1,2.431495e-03,4.396927e-03,1.6219,1.930407e+01,-7.619230e-01,1.962956e-03,-8.499831e-08,1.384008e-03,0,0
1.050161,0.000000,0.864795,1.0000,0.7229,-1,2.297182e-03,4.170085e-03,1.5712,2.641416e+01,-2.935421e+00,2.019957e-03,-1.387568e-07,1.720923e-03,0,0
1.052195,0.000000,0.872002,1.0000,0.7289,-1,2.439288e-03,4.445214e-03,1.6540,3.884184e+00,7.012536e-01,1.854970e-03,1.625642e-07,1.273705e-03,0,0
1.054229,0.000000,0.879208,1.0000,0.7349,-1,2.094274e-03,3.831332e-03,1.5842,2.232027e+00,7.765667e-01,1.976400e-03,1.259423e-07,1.478631e-03,0,0
1.056263,0.000000,0.886415,1.0000,0.7410,-1,2.081106e-03,3.822114e-03,1.5428,2.157446e+01,-4.046985e+00,2.200038e-03,-3.072203e-07,1.868606e-03,0,0
1.058297,0.000000,0.893622,1.0000,0.7470,-1,2.466040e-03,4.546836e-03,1.6677,6.286853e+00,7.367851e-01,2.206482e-03,-2.275666e-08,1.241880e-03,0,0
1.060330,0.000000,0.900828,1.0000,0.7530,-1,2.294664e-03,4.247515e-03,1.5797,2.403865e+01,-1.785212e+00,2.249811e-03,3.117788e-07,1.594444e-03,0,0
1.062364,0.000000,0.908035,1.0000,0.7590,-1,2.500587e-03,4.646982e-03,1.6528,2.410882e+01,-1.156657e+00,2.258584e-03,-1.060848e-08,1.358919e-03,0,0
1.064398,0.000000,0.915242,1.0000,0.7651,-1,2.535635e-03,4.730812e-03,1.6595,1.314057e+01,-4.265049e-02,2.165172e-03,-2.309575e-07,1.250197e-03,0,0
1.066432,0.000000,0.922448,1.0000,0.7711,-1,2.301065e-03,4.310271e-03,1.6137,1.548288e+01,-4.968989e-01,2.084452e-03,-1.416760e-07,1.396916e-03,0,0
1.068466,0.000000,0.929655,1.0000,0.7771,-1,2.220114e-03,4.175272e-03,1.6152,1.081102e+01,9.566755e-02,2.046799e-03,2.350426e-07,1.380340e-03,0,0
1.070499,0.000000,0.936861,1.0000,0.7831,-1,2.233583e-03,4.217472e-03,1.6088,2.283417e+01,-1.504436e+00,2.099927e-03,4.676548e-07,1.515990e-03,0,0
1.072533,0.000000,0.944068,1.0000,0.7892,-1,2.239121e-03,4.244979e-03,1.6110,1.833941e+01,-7.303955e-01,1.931010e-03,-2.057631e-08,1.432202e-03,0,0
1.074567,0.000000,0.951275,1.0000,0.7952,-1,2.291618e-03,4.362093e-03,1.6346,1.273728e+01,-1.706792e-02,2.028336e-03,-3.310085e-07,1.331869e-03,0,0
1.076601,0.000000,0.958481,1.0000,0.8012,-1,2.079779e-03,3.974952e-03,1.5645,1.893913e+01,-1.087802e+00,2.055181e-03,-3.299678e-07,1.588856e-03,0,0
1.078635,0.000000,0.965688,1.0000,0.8072,-1,1.927091e-03,3.698161e-03,1.5398,3.320039e+00,9.532954e-01,2.011758e-03,-5.730272e-07,1.620349e-03,0,0
1.080668,0.000000,0.972895,1.0000,0.8133,-1,1.995818e-03,3.845749e-03,1.5446,1.802876e+01,-1.034567e+00,2.085606e-03,-1.397016e-06,1.646108e-03,0,0
1.082702,0.000000,0.980101,1.0000,0.8193,-1,2.108100e-03,4.078823e-03,1.5560,2.428030e+01,-2.490844e+00,2.177388e-03,-2.187574e-06,1.744180e-03,0,0
1.084736,0.000000,0.987308,1.0000,0.8253,-1,2.284803e-03,4.438980e-03,1.6337,7.239268e+00,5.453243e-01,1.950849e-03,-2.976598e-07,1.330491e-03,0,0
1.086770,0.000000,0.994514,1.0000,0.8313,-1,2.243504e-03,4.376830e-03,1.6067,1.130539e+01,7.641155e-02,2.081951e-03,3.873077e-06,1.396434e-03,0,0
1.088804,0.000000,1.001721,1.0000,0.8373,-1,2.065327e-03,4.046014e-03,1.5176,1.976737e+01,-5.735077e+00,2.296976e-03,6.384117e-06,1.956319e-03,0,0
1.090837,0.000000,1.008928,1.0000,0.8434,-1,2.174383e-03,4.277480e-03,1.5668,1.345017e+01,-3.782355e-02,2.149354e-03,8.198034e-06,1.503181e-03,0,0
1.092871,0.000000,1.016134,1.0000,0.8494,-1,2.070645e-03,4.090522e-03,1.5744,1.683146e+01,-7.816750e-01,2.198231e-03,7.780630e-06,1.541909e-03,0,0
1.094905,0.000000,1.023341,1.0000,0.8554,-1,1.946788e-03,3.862072e-03,1.5826,1.209855e+01,-2.260458e-01,2.096671e-03,6.365403e-06,1.510078e-03,0,0
