node,x_c,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
214,0.910858453323387,-2.7322852835858497e-07,9.675343124678233e-10,-4.2181365120258757e-07,2.304986627186465e-08,-1.0680785747889534e-09,3.7025654023085305e-24,4.2181365120258757e-07
215,0.9009429839263966,-2.3805378874536072e-07,6.9723266630473285e-09,-3.6641505818748475e-07,2.6014417391317556e-08,-1.286414588260738e-09,3.586094001161153e-24,3.6641505818748475e-07
216,0.8910255586008076,-2.2494657307653014e-07,2.2413396786921227e-09,-3.513422443301416e-07,2.0967649330043993e-08,-9.98943147259254e-10,4.100587014939479e-24,3.513422443301416e-07
217,0.8811062309314138,-2.1133407721611333e-07,1.689379410171517e-10,-3.344632632105783e-07,1.8568910573973067e-08,-1.0042246023978133e-09,4.644833655581106e-24,3.344632632105783e-07
218,0.8711850439771167,-1.9374556610254703e-07,3.728084672627483e-09,-3.086069968345772e-07,2.0656581611987227e-08,-7.886793019530492e-10,5.0337635854899105e-24,3.086069968345772e-07
219,0.86126204317495,-1.8320639853680657e-07,3.0812243676529963e-09,-2.945161923895064e-07,1.8797682183902045e-08,-6.910639705281973e-10,5.600378521698183e-24,2.945161923895064e-07
220,0.8513372708998309,-1.7481414401806638e-07,1.7838155411132273e-09,-2.8357163392062734e-07,1.679782602454351e-08,-6.204894656981856e-10,6.278797055482647e-24,2.8357163392062734e-07
221,0.8414107621536647,-1.6586720211045146e-07,2.09804377681094e-09,-2.70974603169996e-07,1.6393381796216144e-08,-5.05233272095748e-10,6.956578271989967e-24,2.70974603169996e-07
222,0.8314825540294565,-1.583933697247417e-07,2.015141745759019e-09,-2.606577263888211e-07,1.5727825634595854e-08,-4.268774955224796e-10,7.752579321991719e-24,2.606577263888211e-07
223,0.8215526788075067,-1.518850759624175e-07,1.6941178925777647e-09,-2.5174661680860843e-07,1.4887931548054233e-08,-3.571596554655209e-10,8.661925609824216e-24,2.5174661680860843e-07
224,0.8116211704484549,-1.456605072933061e-07,1.998967109505343e-09,-2.4298493971258377e-07,1.4681415139010896e-08,-2.777205466240702e-10,9.651638136024456e-24,2.4298493971258377e-07
225,0.801688052595607,-1.4068451629990402e-07,1.6982028002920982e-09,-2.3613187703526327e-07,1.3862316673720196e-08,-2.1503242837405584e-10,1.0780166697819837e-23,2.3613187703526327e-07
226,0.7917533557402486,-1.3601051574971413e-07,1.4647295793799268e-09,-2.2957439664370027e-07,1.3302961987496854e-08,-1.5363294968102755e-10,1.2065058664201275e-23,2.2957439664370027e-07
227,0.7818171009316631,-1.3134931781412331e-07,1.7460839794249273e-09,-2.2297002296570604e-07,1.3346539215409973e-08,-9.402129760316367e-11,1.3494681637086973e-23,2.2297002296570604e-07
228,0.7718793102344086,-1.2712473423939158e-07,1.952929309054075e-09,-2.1697265870506474e-07,1.3146623945186097e-08,-3.731726186550386e-11,1.5104387058085946e-23,2.1697265870506474e-07
229,0.7619400045632136,-1.2397003920840923e-07,1.4961635800867797e-09,-2.125939982332358e-07,1.228376506016491e-08,1.2893816721722451e-11,1.6948351616849684e-23,2.125939982332358e-07
230,0.7519991999240196,-1.2105407466429808e-07,1.2625635113251243e-09,-2.0850596281798768e-07,1.183841661062334e-08,5.945864691926049e-11,1.903183045849207e-23,2.0850596281798768e-07
231,0.7420569139685426,-1.1806643712869643e-07,1.7688919215703296e-09,-2.0423069529211615e-07,1.2087324625289775e-08,1.0749038858626816e-10,2.137409887345225e-23,2.0423069529211615e-07
232,0.732113159426416,-1.1561016535108477e-07,1.6802796324346526e-09,-2.007869334317196e-07,1.1757290630248723e-08,1.5249268604941962e-10,2.404380171327333e-23,2.007869334317196e-07
233,0.7221679483608356,-1.1292540464838061e-07,1.681726884195388e-09,-1.9683039378058956e-07,1.1637877953066608e-08,1.9817560069942006e-10,2.710147530025182e-23,1.9683039378058956e-07
234,0.7122212926073156,-1.1066182855592031e-07,1.9582592199937524e-09,-1.9360853038745755e-07,1.1848401971364048e-08,2.3609698834311166e-10,3.0589874541800993e-23,1.9360853038745755e-07
235,0.7022731999000958,-1.085933392372246e-07,2.2230264488717956e-09,-1.9063120246614947e-07,1.2015810478084898e-08,2.753797154356469e-10,3.4537146576417026e-23,1.9063120246614947e-07
236,0.6923236795979286,-1.0645838091885304e-07,2.2403291335754004e-09,-1.8741961593850925e-07,1.1769853340657499e-08,3.184166705841947e-10,3.905219173858807e-23,1.8741961593850925e-07
237,0.6823727368032297,-1.0467172147688734e-07,2.226851477832929e-09,-1.848876915393241e-07,1.1700393934858348e-08,3.536667105178601e-10,4.427107201011965e-23,1.848876915393241e-07
238,0.6724203752258999,-1.0314337421988538e-07,2.1993632590241727e-09,-1.8269832057073314e-07,1.1571159632219558e-08,3.883957305446175e-10,5.024390597592908e-23,1.8269832057073314e-07
239,0.6624666007591165,-1.0183317431943015e-07,2.0623650972092153e-09,-1.808079325071371e-07,1.1329379238095112e-08,4.2109451519998667e-10,5.712371421106584e-23,1.808079325071371e-07
240,0.6525114152960629,-1.005229569106572e-07,1.7545103199013423e-09,-1.789394511409212e-07,1.092696928367995e-08,4.519938883309287e-10,6.501796462518002e-23,1.789394511409212e-07
241,0.6425548184644789,-9.904352830305209e-08,1.8664408864520247e-09,-1.7674112287438054e-07,1.0826438518573432e-08,4.873326797603857e-10,7.404675834339768e-23,1.7674112287438054e-07
242,0.6325968138346085,-9.815172097925534e-08,1.3946837940404809e-09,-1.754858308221546e-07,9.837268852983212e-09,5.233682535256347e-10,8.446590363520806e-23,1.754858308221546e-07
243,0.6226374001373497,-9.724930332304443e-08,1.1741344533188214e-09,-1.741388444958788e-07,9.626424120174635e-09,5.578020706146746e-10,9.67185416213654e-23,1.741388444958788e-07
244,0.6126765756197974,-9.585085678731401e-08,1.460283302382956e-09,-1.7202698647321355e-07,1.0167086130558861e-08,5.853107038483903e-10,1.109667358307476e-22,1.7202698647321355e-07
245,0.6027143402539177,-9.495375562366213e-08,1.433538247098584e-09,-1.7065931768063434e-07,9.869409982647364e-09,6.16438333938582e-10,1.2735862182121278e-22,1.7065931768063434e-07
246,0.592750693193475,-9.415666237407509e-08,1.452118393737962e-09,-1.694638928404621e-07,9.804731774159681e-09,6.46483556326648e-10,1.4652541713035296e-22,1.694638928404621e-07
247,0.5827856313067526,-9.384026844005947e-08,1.1299169070700783e-09,-1.6910028999752888e-07,9.052362513755951e-09,6.780836278798238e-10,1.687966687457042e-22,1.6910028999752888e-07
248,0.5728191526028106,-9.323448482324459e-08,1.3601395118843843e-09,-1.6814363932998624e-07,9.452318264340536e-09,7.098082587124989e-10,1.9515566708019556e-22,1.6814363932998624e-07
249,0.5628512569017231,-9.226932819623815e-08,1.4586780843672232e-09,-1.6663081287293673e-07,9.65239791069284e-09,7.387603580130563e-10,2.2610518757576264e-22,1.6663081287293673e-07
250,0.5528819418182068,-9.110450351048224e-08,1.868094853059808e-09,-1.6471150814747433e-07,1.0102740754817085e-08,7.715588269313276e-10,2.6248883388522206e-22,1.6471150814747433e-07
251,0.5429112056327131,-9.047637120154277e-08,1.5972237665724196e-09,-1.6376507184956733e-07,9.630604692180053e-09,8.006736279118922e-10,3.054160169643275e-22,1.6376507184956733e-07
252,0.5329390496012941,-8.981755557858279e-08,1.6181752414103038e-09,-1.6273193247275685e-07,9.58965664739936e-09,8.315813027569285e-10,3.5627620112921526e-22,1.6273193247275685e-07
253,0.5229654745547798,-8.966105414677899e-08,1.3497899119777907e-09,-1.6259872452260188e-07,9.03737332074802e-09,8.593963993075432e-10,4.1645953667097207e-22,1.6259872452260188e-07
254,0.5129904816483042,-8.93793097058873e-08,1.459710134351485e-09,-1.6216054646757684e-07,9.097976821679354e-09,8.917725426904892e-10,4.881833582460358e-22,1.6216054646757684e-07
255,0.5030140740261183,-8.901550489701417e-08,1.5446546862702609e-09,-1.6163070022370322e-07,9.196719925356272e-09,9.21468694420586e-10,5.740680597436387e-22,1.6163070022370322e-07
256,0.4930362582830874,-8.829883279261716e-08,1.7948435768986749e-09,-1.6043895942542424e-07,9.512046042402735e-09,9.543124246373623e-10,6.770853929548049e-22,1.6043895942542424e-07
257,0.483057041536239,-8.769824701574439e-08,1.9340759968258073e-09,-1.5948583194010466e-07,9.701810363185932e-09,9.850863873390656e-10,8.012600627019455e-22,1.5948583194010466e-07
258,0.47307643296699775,-8.689928900372872e-08,1.8923534302286135e-09,-1.5821224368188981e-07,9.685977168068363e-09,1.0146483595208794e-09,9.513269554534052e-22,1.5821224368188981e-07
259,0.463094444947318,-8.660093406823837e-08,1.898992349951662e-09,-1.5783386565787135e-07,9.418654959082278e-09,1.0467476582248562e-09,1.1318418473757302e-21,1.5783386565787135e-07
260,0.4531110948784052,-8.69316926464198e-08,1.375699211150111e-09,-1.5859940175868977e-07,8.694649754472805e-09,1.0758551291966288e-09,1.3517220768782297e-21,1.5859940175868977e-07
261,0.44312640165990447,-8.613322458003531e-08,1.630954693395715e-09,-1.572927388197031e-07,9.119594315582387e-09,1.1099966489620263e-09,1.6208510912322113e-21,1.572927388197031e-07
262,0.4331403891138494,-8.576435316368246e-08,1.5099839376024467e-09,-1.56878050375905e-07,8.765404019582683e-09,1.1415537280871067e-09,1.9491587339350853e-21,1.56878050375905e-07
263,0.4231530855525473,-8.548742354832134e-08,1.3406936149604013e-09,-1.5655025923550165e-07,8.527123763112947e-09,1.1764451321188418e-09,2.3534101385170714e-21,1.5655025923550165e-07
264,0.41316452636063977,-8.533532741083869e-08,1.3128524054587175e-09,-1.5650181748220369e-07,8.319142084136035e-09,1.210178129230001e-09,2.8520753425211017e-21,1.5650181748220369e-07
265,0.4031747509935614,-8.529030684742998e-08,1.3393872674216643e-09,-1.5671979403946103e-07,8.355376889762545e-09,1.2407779539095551e-09,3.47249286423514e-21,1.5671979403946103e-07
266,0.3931838063645967,-8.541061827528825e-08,1.0716769119965425e-09,-1.5719551254666117e-07,8.015328956522055e-09,1.2748123987064235e-09,4.2441731341320886e-21,1.5719551254666117e-07
267,0.3831917477947701,-8.447284862096959e-08,1.3921255861073276e-09,-1.5577109506083584e-07,8.436004255420806e-09,1.3117924765563677e-09,5.213621995410311e-21,1.5577109506083584e-07
268,0.37319863880152093,-8.475601544783328e-08,1.2090230015901167e-09,-1.5673230394970694e-07,7.823389164733475e-09,1.3502904330379787e-09,6.422268468714735e-21,1.5673230394970694e-07
269,0.3632045516862651,-8.453750635289365e-08,1.3616880285029997e-09,-1.5667724832219222e-07,8.269162007311204e-09,1.3895557318451127e-09,7.96181768667572e-21,1.5667724832219222e-07
270,0.3532095716655414,-8.444617158935899e-08,1.091796957431266e-09,-1.5704213566685236e-07,7.835027677633818e-09,1.4222655895137347e-09,9.912773586738838e-21,1.5704213566685236e-07
271,0.3432137934155042,-8.412468855022804e-08,1.185265956190536e-09,-1.569596446212107e-07,8.047115797190942e-09,1.4570489060035852e-09,1.2407409409628634e-20,1.569596446212107e-07
272,0.3332173281650474,-8.435184436989453e-08,9.69360763594027e-10,-1.5797496807238828e-07,7.513750628292373e-09,1.4979509650076579e-09,1.5564722818716217e-20,1.5797496807238828e-07
273,0.32322030091462295,-8.500969551513918e-08,7.79422356759571e-10,-1.5986712662413445e-07,7.19083852999089e-09,1.5412675597305681e-09,1.9595466701456768e-20,1.5986712662413445e-07
274,0.3132228543676948,-8.569229710178606e-08,7.151991681233765e-10,-1.6190516691752963e-07,7.224955381257895e-09,1.5800227194335734e-09,2.4771508917212293e-20,1.6190516691752963e-07
275,0.30322515094541974,-8.607246851088809e-08,7.33494003560011e-10,-1.634341185590608e-07,7.520872167779248e-09,1.620335569490126e-09,3.1413387467122877e-20,1.634341185590608e-07
276,0.2932273752288534,-8.658138626433373e-08,4.5935783465363733e-10,-1.6538921071327874e-07,7.428161170110002e-09,1.6609089408868415e-09,3.9857037424159646e-20,1.6538921071327874e-07
277,0.28322973706905646,-8.739364239401534e-08,-2.976609741071491e-10,-1.6817903127002666e-07,6.774060953066377e-09,1.699306815956601e-09,5.0467871650781227e-20,1.6817903127002666e-07
278,0.27323247586145144,-8.977518732465465e-08,-2.36826675465103e-09,-1.7425276056142325e-07,4.6449005293354196e-09,1.7392208941843723e-09,6.33268722117069e-20,1.7425276056142325e-07
279,0.2632358604220335,-9.31577303320715e-08,-7.0510366881468375e-09,-1.8280944723446588e-07,1.2786956248963373e-10,1.768643262626919e-09,7.832311686693276e-20,1.8280944723446588e-07
280,0.25324020253031365,-9.510794156039522e-08,-1.744307242407852e-08,-1.895618204264957e-07,-1.0117810877093459e-08,1.782259876318373e-09,9.432253959701218e-20,1.895618204264957e-07
281,0.24324585272856705,-8.670615189841046e-08,-4.308669343245888e-08,-1.7692954847839628e-07,-3.749519672944625e-08,1.7693792375983293e-09,1.0762551710966889e-19,1.7692954847839628e-07
282,0.2332532147894953,-3.17219670769646e-08,-9.236103184150214e-08,-6.634390274871357e-08,-9.567106489005139e-08,1.7172048637115068e-09,1.0700794623126329e-19,9.567106489005139e-08
283,0.22326274906558055,9.00349617589467e-08,-2.6913590154978383e-07,1.960089442804578e-07,-3.070681471067355e-07,1.3810046176691436e-09,5.145821996179749e-20,3.070681471067355e-07
284,0.21327498540380732,8.380951955727525e-08,2.0985128169103121e-07,2.300188050330594e-07,2.2123421969428277e-07,-1.9643330889381026e-09,-1.0901230574650108e-18,2.300188050330594e-07
285,0.2032905323748017,-1.7173180593484983e-07,2.1016358922720777e-08,-5.866962607181021e-07,-6.43558775043816e-08,-2.9415680525578717e-08,-4.037370309488097e-18,5.866962607181021e-07
286,0.19331009878920147,-1.4871276455524787e-07,1.0269280003589495e-08,-4.3556806208218606e-07,4.059004435809919e-08,-1.0378013462536245e-08,-7.200076118255685e-19,4.3556806208218606e-07
287,0.18333450549969868,-2.6405331348270064e-08,1.0091753799689443e-07,-6.337126490622051e-08,1.2346737492529544e-07,-1.591727056910272e-08,-1.0807610712644743e-18,1.2346737492529544e-07
288,0.1733647128387056,-1.8548138316101644e-07,-3.0439842203976575e-07,-4.375638721583837e-07,-3.075128409625135e-07,2.128187595931889e-09,-1.6308072476422515e-17,4.375638721583837e-07
289,0.16340185302815757,-9.188567949550986e-08,1.5273568061994283e-07,-1.7196158218821343e-07,1.7213058100825797e-07,2.444097550345844e-08,-5.558818856581715e-18,1.7213058100825797e-07
