path,alpha,level,eta,side,x_over_c,cp
conforming,0.0,xcoarse,0.20,upper,0.13233,-0.171200
conforming,0.0,xcoarse,0.20,upper,0.13271,-0.171313
conforming,0.0,xcoarse,0.20,upper,0.13308,-0.171425
conforming,0.0,xcoarse,0.20,upper,0.13346,-0.171537
conforming,0.0,xcoarse,0.20,upper,0.13383,-0.171649
conforming,0.0,xcoarse,0.20,upper,0.13421,-0.171762
conforming,0.0,xcoarse,0.20,upper,0.13459,-0.171874
conforming,0.0,xcoarse,0.20,upper,0.13496,-0.171986
conforming,0.0,xcoarse,0.20,upper,0.13534,-0.172010
conforming,0.0,xcoarse,0.20,upper,0.13571,-0.172011
conforming,0.0,xcoarse,0.20,upper,0.13609,-0.172012
conforming,0.0,xcoarse,0.20,upper,0.13647,-0.172013
conforming,0.0,xcoarse,0.20,upper,0.13684,-0.172014
conforming,0.0,xcoarse,0.20,upper,0.13722,-0.172016
conforming,0.0,xcoarse,0.20,upper,0.13759,-0.172017
conforming,0.0,xcoarse,0.20,upper,0.13797,-0.172018
conforming,0.0,xcoarse,0.20,upper,0.13835,-0.172019
conforming,0.0,xcoarse,0.20,upper,0.13872,-0.172020
conforming,0.0,xcoarse,0.20,upper,0.13910,-0.172021
conforming,0.0,xcoarse,0.20,upper,0.13947,-0.172022
conforming,0.0,xcoarse,0.20,upper,0.13985,-0.172023
conforming,0.0,xcoarse,0.20,upper,0.14023,-0.172024
conforming,0.0,xcoarse,0.20,upper,0.14060,-0.172025
conforming,0.0,xcoarse,0.20,upper,0.14098,-0.172026
conforming,0.0,xcoarse,0.20,upper,0.14135,-0.172027
conforming,0.0,xcoarse,0.20,upper,0.14173,-0.172028
conforming,0.0,xcoarse,0.20,upper,0.14211,-0.172029
conforming,0.0,xcoarse,0.20,upper,0.14248,-0.172030
conforming,0.0,xcoarse,0.20,upper,0.14286,-0.172031
conforming,0.0,xcoarse,0.20,upper,0.14323,-0.172032
conforming,0.0,xcoarse,0.20,upper,0.14361,-0.172033
conforming,0.0,xcoarse,0.20,upper,0.14398,-0.172034
conforming,0.0,xcoarse,0.20,upper,0.14436,-0.172035
conforming,0.0,xcoarse,0.20,upper,0.14474,-0.172036
conforming,0.0,xcoarse,0.20,upper,0.14511,-0.172037
conforming,0.0,xcoarse,0.20,upper,0.14549,-0.172038
conforming,0.0,xcoarse,0.20,upper,0.14586,-0.172039
conforming,0.0,xcoarse,0.20,upper,0.14624,-0.172040
conforming,0.0,xcoarse,0.20,upper,0.14662,-0.172041
conforming,0.0,xcoarse,0.20,upper,0.14699,-0.172042
conforming,0.0,xcoarse,0.20,upper,0.14737,-0.172043
conforming,0.0,xcoarse,0.20,upper,0.14774,-0.172044
conforming,0.0,xcoarse,0.20,upper,0.14812,-0.172046
conforming,0.0,xcoarse,0.20,upper,0.14850,-0.172047
conforming,0.0,xcoarse,0.20,upper,0.14887,-0.172048
conforming,0.0,xcoarse,0.20,upper,0.14925,-0.172049
conforming,0.0,xcoarse,0.20,upper,0.14962,-0.172050
conforming,0.0,xcoarse,0.20,upper,0.15000,-0.172051
conforming,0.0,xcoarse,0.20,lower,0.00000,0.487102
conforming,0.0,xcoarse,0.20,lower,0.00038,0.485275
conforming,0.0,xcoarse,0.20,lower,0.00075,0.483447
conforming,0.0,xcoarse,0.20,lower,0.00113,0.481619
conforming,0.0,xcoarse,0.20,lower,0.00150,0.479791
conforming,0.0,xcoarse,0.20,lower,0.00188,0.477963
conforming,0.0,xcoarse,0.20,lower,0.00226,0.476135
conforming,0.0,xcoarse,0.20,lower,0.00263,0.474307
conforming,0.0,xcoarse,0.20,lower,0.00301,0.472479
conforming,0.0,xcoarse,0.20,lower,0.00338,0.470651
conforming,0.0,xcoarse,0.20,lower,0.00376,0.468823
conforming,0.0,xcoarse,0.20,lower,0.00414,0.466995
conforming,0.0,xcoarse,0.20,lower,0.00451,0.465167
conforming,0.0,xcoarse,0.20,lower,0.00489,0.463339
conforming,0.0,xcoarse,0.20,lower,0.00526,0.461511
conforming,0.0,xcoarse,0.20,lower,0.00564,0.459684
