node,x_c,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
68,0.32322162629777623,-3.7180530177998266e-08,-6.47135896659641e-08,-5.8232198642449124e-08,-5.213417262129668e-08,4.230231747959632e-08,-5.974823277478109e-14,6.47135896659641e-08
69,0.34321507958793596,-2.9655388364408888e-08,-6.414584212574387e-08,-4.597846770814473e-08,-5.265396950596135e-08,2.973633284107793e-08,-3.189498541459342e-14,6.414584212574387e-08
70,0.3632057978448916,-3.623515780976198e-08,-4.0594075754742626e-08,-6.070266687374264e-08,-2.995002864149333e-08,2.0337302315062996e-08,-1.5731934363203405e-14,6.070266687374264e-08
71,0.38319295665580877,-4.6052227830166375e-08,-1.7168604168771658e-08,-8.162692139449519e-08,-6.890445839694329e-09,1.3554550494208551e-08,-6.680883820479566e-15,8.162692139449519e-08
72,0.4031759207979602,-5.350480645509869e-08,-7.520108342374938e-09,-9.800772865199464e-08,2.6431186697057677e-09,8.80626562812049e-09,-1.8453113201519644e-15,9.800772865199464e-08
73,0.42315421430182554,-5.982335838499632e-08,-3.4613797419988513e-09,-1.1191265224709183e-07,6.160029826137787e-09,5.564594102946095e-09,5.758815402045823e-16,1.1191265224709183e-07
74,0.44312749077605956,-6.766246357075743e-08,5.639992619990342e-09,-1.2837579570636418e-07,1.5130794809556893e-08,3.3954115301132534e-09,1.6741826522566583e-15,1.2837579570636418e-07
75,0.4630954991904464,-7.702579264466712e-08,2.1594377850275752e-08,-1.4734620791737576e-07,3.1298574003658757e-08,1.9786940371599276e-09,2.0596312461526813e-15,1.4734620791737576e-07
76,0.48305805480114117,-8.174315916026423e-08,2.0211744663083517e-08,-1.5740113618322015e-07,3.119813867605618e-08,1.0990388651309888e-09,2.0586414523567085e-15,1.5740113618322015e-07
77,0.5030150455735684,-8.537458386615422e-08,8.272723917311542e-09,-1.6507905075975728e-07,1.8994103058480903e-08,5.741906104230842e-10,1.8648935420646994e-15,1.6507905075975728e-07
78,0.522966407510147,-9.175022820382055e-08,1.0417371187074195e-08,-1.7766036488900252e-07,2.1779406306113975e-08,2.836659134555903e-10,1.6270987392979337e-15,1.7766036488900252e-07
79,0.54291210370905,-9.777727904315572e-08,5.20066472400724e-09,-1.8932898788592583e-07,1.6446002473155845e-08,1.4076974113352468e-10,1.371791178088149e-15,1.8932898788592583e-07
80,0.5628521131730433,-1.0458391296493462e-07,1.515286981826789e-08,-2.0212991647324518e-07,2.699732628742652e-08,1.1074741530909032e-10,1.1443073054736397e-15,2.0212991647324518e-07
81,0.5827864451512627,-1.0976443356953546e-07,8.987923103848694e-09,-2.1174499498552267e-07,2.153370914244306e-08,1.2111685518892044e-10,9.372307093326076e-16,2.1174499498552267e-07
82,0.6027151185229053,-1.1744715952184695e-07,1.3567653931645055e-08,-2.255318115614496e-07,2.6519001296151452e-08,1.6592662756573075e-10,7.64385224618088e-16,2.255318115614496e-07
83,0.6226381406231138,-1.2378217806048384e-07,1.008362731107434e-08,-2.3655329367493893e-07,2.4230064428849667e-08,2.123064520267337e-10,6.19428445186066e-16,2.3655329367493893e-07
84,0.6425555165363587,-1.321352692272744e-07,4.606565604025501e-09,-2.507335690998473e-07,1.91000862776731e-08,2.4882347668439186e-10,4.985022694557913e-16,2.507335690998473e-07
85,0.6624672592062482,-1.4244312197390847e-07,1.7648964500105107e-08,-2.678305338790813e-07,3.2624580449027625e-08,2.997790025039774e-10,4.0413484602017113e-16,2.678305338790813e-07
86,0.6823733602384314,-1.500868910927473e-07,7.859430690624531e-09,-2.801851542305306e-07,2.469824029454325e-08,3.0670240768046616e-10,3.249561931238495e-16,2.801851542305306e-07
