state,z,gamma,resid_localfit,abs_F,d_up,d_lo,asym,dz_up,dz_lo,shared_up,shared_lo
conf_picard_medium,0.61256,0.088461,0.001061,2.54e-04,0.00710,0.00683,0.0192,0.00143,0.00181,1,1
conf_picard_medium,0.61977,0.088387,0.000518,2.65e-04,0.00719,0.00700,0.0129,0.00170,0.00174,0,0
conf_picard_medium,0.62698,0.090141,0.001755,2.70e-04,0.00747,0.00720,0.0184,0.00534,0.00162,1,0
conf_picard_medium,0.63418,0.088433,0.000420,2.71e-04,0.00747,0.00756,0.0061,0.00186,0.00174,1,0
conf_picard_medium,0.64139,0.088209,0.000421,2.74e-04,0.00748,0.00794,0.0298,0.00185,0.00163,0,0
conf_picard_medium,0.64860,0.085426,0.002234,3.02e-04,0.00749,0.00614,0.0985,0.00535,0.00491,0,1
conf_picard_medium,0.65580,0.087369,0.000178,3.06e-04,0.00749,0.00614,0.0986,0.00535,0.00229,0,1
conf_picard_medium,0.66301,0.086298,0.001088,3.23e-04,0.00747,0.00745,0.0010,0.00533,0.00555,0,1
conf_picard_medium,0.67022,0.088269,0.001121,3.26e-04,0.00729,0.00718,0.0078,0.00514,0.00165,0,1
conf_picard_medium,0.67742,0.088468,0.001639,3.40e-04,0.00709,0.00741,0.0224,0.00503,0.00180,0,0
conf_picard_medium,0.68463,0.085993,0.000423,3.53e-04,0.00697,0.00748,0.0354,0.00511,0.00535,1,1
conf_picard_medium,0.69184,0.085993,0.000111,3.53e-04,0.00706,0.00748,0.0288,0.00209,0.00186,1,1
conf_picard_medium,0.69904,0.086974,0.001768,3.58e-04,0.00722,0.00749,0.0184,0.00514,0.00186,0,0
conf_picard_medium,0.70625,0.083529,0.000870,3.50e-04,0.00718,0.00749,0.0209,0.00472,0.00535,0,0
conf_picard_medium,0.71346,0.082715,0.000795,3.47e-04,0.00739,0.00748,0.0058,0.00496,0.00535,0,0
conf_picard_medium,0.72066,0.082481,0.000141,3.49e-04,0.00746,0.00713,0.0224,0.00525,0.00499,0,1
conf_picard_medium,0.72787,0.083931,0.002122,3.42e-04,0.00749,0.00745,0.0027,0.00535,0.00221,1,1
conf_picard_medium,0.73508,0.078354,0.002770,3.34e-04,0.00749,0.00675,0.0515,0.00186,0.00517,1,1
conf_picard_medium,0.74228,0.079835,0.000745,3.30e-04,0.00748,0.00668,0.0564,0.00185,0.00204,0,1
conf_picard_medium,0.74949,0.080086,0.000082,3.24e-04,0.00749,0.00706,0.0291,0.00186,0.00177,0,0
conf_picard_medium,0.75670,0.080218,0.000374,3.13e-04,0.00749,0.00749,0.0001,0.00185,0.00185,0,0
