state,z,te_cp_gap
ls_newton_medium,0.26665,0.00000
ls_newton_medium,0.27385,0.00000
ls_newton_medium,0.28106,0.00000
ls_newton_medium,0.28827,0.00000
ls_newton_medium,0.29547,0.00000
ls_newton_medium,0.30268,0.00000
ls_newton_medium,0.30988,0.00000
ls_newton_medium,0.31709,0.00000
ls_newton_medium,0.32430,0.00000
ls_newton_medium,0.33150,0.00000
ls_newton_medium,0.33871,0.00000
ls_newton_medium,0.34592,0.00000
ls_newton_medium,0.35312,0.00000
ls_newton_medium,0.36033,0.00000
ls_newton_medium,0.36754,0.00000
ls_newton_medium,0.37474,0.00000
ls_newton_medium,0.38195,0.00000
ls_newton_medium,0.38916,0.00000
ls_newton_medium,0.39636,0.00000
ls_newton_medium,0.40357,0.00000
ls_newton_medium,0.41078,0.00000
ls_newton_medium,0.41798,0.00000
ls_newton_medium,0.42519,0.00000
ls_newton_medium,0.43240,0.00000
ls_newton_medium,0.43960,0.00000
ls_newton_medium,0.44681,0.00000
ls_newton_medium,0.45402,0.00000
ls_newton_medium,0.46122,0.00000
ls_newton_medium,0.46843,0.00000
ls_newton_medium,0.47564,0.00000
ls_newton_medium,0.48284,0.00000
ls_newton_medium,0.49005,0.00000
ls_newton_medium,0.49726,0.00000
ls_newton_medium,0.50446,0.00000
ls_newton_medium,0.51167,0.00000
ls_newton_medium,0.51888,0.00000
ls_newton_medium,0.52608,0.00000
ls_newton_medium,0.53329,0.00000
ls_newton_medium,0.54050,0.00000
ls_newton_medium,0.54770,0.00000
ls_newton_medium,0.55491,0.00000
ls_newton_medium,0.56212,0.00000
ls_newton_medium,0.56932,0.00000
ls_newton_medium,0.57653,0.00000
ls_newton_medium,0.58374,0.00000
ls_newton_medium,0.59094,0.00000
ls_newton_medium,0.59815,0.00000
ls_newton_medium,0.60536,0.00000
ls_newton_medium,0.61256,0.00000
ls_newton_medium,0.61977,0.00000
ls_newton_medium,0.62698,0.00000
ls_newton_medium,0.63418,0.00000
ls_newton_medium,0.64139,0.00000
ls_newton_medium,0.64860,0.00000
ls_newton_medium,0.65580,0.00000
ls_newton_medium,0.66301,0.00000
ls_newton_medium,0.67022,0.00000
ls_newton_medium,0.67742,0.00000
ls_newton_medium,0.68463,0.00000
ls_newton_medium,0.69184,0.00000
ls_newton_medium,0.69904,0.00000
ls_newton_medium,0.70625,0.00000
ls_newton_medium,0.71346,0.00000
ls_newton_medium,0.72066,0.00000
ls_newton_medium,0.72787,0.00000
ls_newton_medium,0.73508,0.00000
ls_newton_medium,0.74228,0.00000
ls_newton_medium,0.74949,0.00000
ls_newton_medium,0.75670,0.00000
ls_newton_medium,0.76390,0.00000
ls_newton_medium,0.77111,0.00000
ls_newton_medium,0.77832,0.00000
ls_newton_medium,0.78552,0.00000
ls_newton_medium,0.79273,0.00000
ls_newton_medium,0.79994,0.00000
ls_newton_medium,0.80714,0.00000
ls_newton_medium,0.81435,0.00000
ls_newton_medium,0.82156,0.00000
ls_newton_medium,0.82876,0.00000
ls_newton_medium,0.83597,0.00000
ls_newton_medium,0.84318,0.00000
ls_newton_medium,0.85038,0.00000
ls_newton_medium,0.85759,0.00000
ls_newton_medium,0.86480,0.00000
ls_newton_medium,0.87200,0.00000
ls_newton_medium,0.87921,0.00000
ls_newton_medium,0.88642,0.00000
ls_newton_medium,0.89362,0.00000
ls_newton_medium,0.90083,0.00000
ls_newton_medium,0.90803,0.00000
ls_newton_medium,0.91524,0.00000
ls_newton_medium,0.92245,0.00000
ls_newton_medium,0.92965,0.00000
ls_newton_medium,0.93686,0.00000
ls_newton_medium,0.94407,0.00000
ls_newton_medium,0.95127,0.00000
ls_newton_medium,0.95848,0.00000
ls_newton_medium,0.96569,0.00000
ls_newton_medium,0.97289,0.00000
ls_newton_medium,0.98010,0.00000
