side,x,re_theta_xfoil,theta_x,theta_o,ctau_x,ctau_o,ctau_eq_o,delta_o,s
side_a,0.88942,7297.161599999999,0.00244,0.002442487512974342,0.0014317899209999997,0.0014318882813804204,0.0015443954234550766,0.020592337437698338,0.9141199999999999
side_a,0.89886,7431.476219999999,0.002499,0.0025014150063796185,0.0014427842559999998,0.0014429188292017449,0.0015688543380720657,0.020992612149539767,0.92363
side_a,0.90826,7566.681509999999,0.002559,0.0025617727311687405,0.0014542782250000002,0.0014543991570372314,0.001593873937873868,0.021400632901718706,0.93311
side_a,0.91761,7716.1071,0.002626,0.0026285861778286256,0.001467885969,0.0014679964915582794,0.0016246517725141299,0.02183791873341888,0.94253
side_a,0.92688,7874.6525999999985,0.002698,0.00270065079591336,0.0014832511689999999,0.0014833132100516098,0.0016599212625217428,0.022299058093728674,0.95187
side_a,0.93602,8044.1817599999995,0.002776,0.002778968405937663,0.001500555169,0.0015006728754638175,0.0017007940610401194,0.022787884050211645,0.96109
side_a,0.94499,8224.5306,0.00286,0.0028634393268105935,0.001519908196,0.0015200511384206319,0.0017473494700866548,0.023303235155473292,0.97014
side_a,0.95372,8421.896939999999,0.002953,0.0029566298817901857,0.0015421329,0.001542255748448406,0.001802557413845858,0.023855103294385675,0.9789399999999999
side_a,0.96213,8636.5461,0.003055,0.0030577131020519677,0.0015669722250000002,0.001567038992034136,0.0018660226021352466,0.024438805154452743,0.98742
side_a,0.97012,8857.83708,0.003162,0.003165428560566689,0.001593925776,0.0015940361759790018,0.0019371829146840381,0.025047180285439338,0.9954799999999999
side_a,0.9776,9093.28176,0.003277,0.003280652752246527,0.001623364681,0.00162347684963347,0.0020177173607317856,0.0256827709498888,1.00304
side_a,0.98451,9344.009429999998,0.003401,0.0034050825119772156,0.0016556760999999998,0.0016557893858179747,0.0021103873405071204,0.02635188460095376,1.01002
side_a,0.99082,9596.967,0.003527,0.003530442226375174,0.0016885524639999997,0.001688616613670727,0.002207456645148524,0.02701745294954235,1.0163799999999998
side_a,0.99652,9852.44472,0.003656,0.003660031918639123,0.001722665025,0.0017227747875622383,0.002312985635960935,0.027694649533714782,1.02214
side_a,1.0,9978.9372,0.00372,0.003724184099706417,0.0017397240999999998,0.0017398112705601268,0.0023614460393097227,0.028042490664625965,1.02565
side_b,0.05862,235.63848000000002,7.7e-05,7.756235321534718e-05,0.002441051649,0.002347743308790409,0.003006618404229146,0.0005437124185043885,0.0677000000000001
side_b,0.06391,271.788,8.8e-05,8.882515028204931e-05,0.0023838806250000002,0.0022579802277004923,0.0022722014614207776,0.0006539234875081945,0.07316999999999996
side_b,0.06959,314.90487,0.000101,0.00010070742753857659,0.0021085545610000003,0.002055621462055774,0.0019607021625035544,0.000767320998460805,0.07902000000000009
side_b,0.07564,355.1703,0.000113,0.00011293829198547915,0.0019096900000000003,0.001901384328701049,0.001726912785830728,0.0008895167632871202,0.08522000000000007
side_b,0.08205,398.94498,0.000126,0.0001258642713520532,0.0017815152640000003,0.0017875496514716176,0.0016242071231809692,0.0010109493646834348,0.09177000000000013
side_b,0.0888,446.40959999999995,0.00014,0.0001393145335522859,0.0017034605289999998,0.0017121114255905048,0.0015656047521248196,0.0011334119782668516,0.09865000000000013
side_b,0.09586,493.81793999999996,0.000154,0.0001535576584891141,0.0016560830250000002,0.001663880842735465,0.0015528779093227966,0.001256077720181151,0.10583000000000009
side_b,0.10319,544.7157299999999,0.000169,0.0001679392411997053,0.0016248154809999998,0.0016305057640123883,0.0015450967934572582,0.001379394891350834,0.11326000000000014
side_b,0.11076,592.51923,0.000183,0.00018257817288696673,0.0016019205759999998,0.001605679689689294,0.0015379667423384635,0.0015050888596065245,0.12092999999999998
side_b,0.11855,643.7296799999999,0.000198,0.00019733771710499275,0.001582687089,0.001585116913149508,0.0015288192470262977,0.0016327190505937808,0.12880000000000003
side_b,0.12651,694.6185599999999,0.000213,0.0002126253787004259,0.0015676056490000004,0.0015691790697522066,0.001523009039793779,0.001764232426827955,0.13683
side_b,0.13464,745.71732,0.000228,0.000227867375833025,0.0015527540250000003,0.0015537790973999964,0.0015124335248739899,0.0018972703101045008,0.14502000000000015
side_b,0.1429,800.0247599999998,0.000244,0.00024329138117656663,0.0015389929000000002,0.0015396238331554881,0.001502385316492095,0.0020322303335863776,0.15332999999999997
side_b,0.15127,851.27343,0.000259,0.0002585951982276073,0.0015249025,0.0015253704113944227,0.0014903816310574195,0.002167511638014613,0.16175000000000006
side_b,0.15974,905.1569999999999,0.000275,0.0002746095195253811,0.0015137546489999998,0.0015141636490755156,0.0014845471655306906,0.002306867616489036,0.17026000000000008
side_b,0.16831,959.5142999999999,0.000291,0.00029016322382411394,0.001501407504,0.0015017604374986152,0.0014731006473024792,0.002445225066709891,0.17886000000000002
side_b,0.17695,1013.41314,0.000307,0.00030620034718068374,0.001490886544,0.0014911936598719022,0.0014658688810240776,0.002586308632439985,0.18752999999999997
side_b,0.18565,1067.2469099999998,0.000323,0.0003222647768233809,0.0014808643240000001,0.001481113688835225,0.0014581571761985083,0.0027283122097058734,0.1962600000000001
