i,residual,drho,dgamma,gamma_mean,gamma_root,n_lin_solves,n_lin_iters,n_refactor,n_limited,n_floored,wall_cum_s,t_seed,t_assembly,t_precond,t_linsolve,t_residual,t_kutta
196,7.059e-05,0.01703711,0.00094336,0.21151842,0.21151842,1,0,0,0,0,17.01534173,0.0,0.02837352,0.0,0.03411747,0.00179477,5.043e-05
197,7.084e-05,0.01578966,0.00093554,0.21198619,0.21198619,1,0,0,0,0,17.07951127,0.0,0.02840032,0.0,0.03390208,0.00179154,4.857e-05
198,7.11e-05,0.01475457,0.00092277,0.21244758,0.21244758,1,0,0,0,0,17.14422355,0.0,0.02838921,0.0,0.03444624,0.00180046,4.919e-05
199,7.133e-05,0.01425799,0.00092015,0.21290765,0.21290765,1,0,0,0,0,17.20900318,0.0,0.02825141,0.0,0.03465131,0.00180046,5.061e-05
200,7.157e-05,0.01398652,0.00091265,0.21336397,0.21336397,1,0,0,0,0,17.2739946,0.0,0.0284908,0.0,0.03441716,0.00197437,7.511e-05
201,7.178e-05,0.01379949,0.00091122,0.21381959,0.21381959,1,0,0,0,0,17.34017507,0.0,0.02993288,0.0,0.03434498,0.00182045,5.16e-05
202,7.199e-05,0.01364278,0.0009042,0.21427169,0.21427169,1,0,0,0,0,17.4054594,0.0,0.02881037,0.0,0.03458295,0.00180904,4.949e-05
203,7.219e-05,0.01349582,0.00092315,0.21473326,0.21473326,1,0,0,0,0,17.47022308,0.0,0.02880341,0.0,0.03404884,0.00183229,5.065e-05
204,7.24e-05,0.01338404,0.00098294,0.21522473,0.21522473,1,0,0,0,0,17.53517086,0.0,0.0287733,0.0,0.03425742,0.00183938,5.05e-05
205,7.267e-05,0.01327769,0.00097768,0.21571357,0.21571357,1,0,0,0,0,17.60083481,0.0,0.02875599,0.0,0.03499202,0.00183706,5.183e-05
206,7.296e-05,0.01315849,0.00096217,0.21619465,0.21619465,1,0,0,0,0,17.66642297,0.0,0.02910579,0.0,0.03455944,0.00184866,4.809e-05
207,7.322e-05,0.01303118,0.00095322,0.21667126,0.21667126,1,0,0,0,0,17.7311629,0.0,0.0285466,0.0,0.03430062,0.00181345,5.139e-05
208,7.347e-05,0.02780819,0.00094589,0.2171442,0.2171442,1,0,0,0,0,17.79594903,0.0,0.0289484,0.0,0.03394155,0.00181596,5.255e-05
209,7.371e-05,0.01559958,0.00094734,0.21761787,0.21761787,1,0,0,0,0,17.86041864,0.0,0.02835231,0.0,0.0342107,0.00182106,5.842e-05
