arm,s,x,turbulent,ue,theta_x,theta_o,H_x,H_o,cf_x,cf_o,ctau_x,ctau_o,march
equil,0.06989999999999996,0.04916,1,1.33079,7.5e-05,8.049132028580259e-05,2.568,1.6624041022842935,0.0014743066153901638,0.0045845696952605776,0.000500685376,0.0022639449892289712,A_whole
equil,0.07463999999999993,0.0537,1,1.32629,8.1e-05,9.235362917494427e-05,2.303,1.5777491205982657,0.002024962219672436,0.004503645293594482,0.001383691204,0.0019179157631806715,A_whole
equil,0.07973999999999992,0.05862,1,1.31597,9e-05,0.00010659340489558649,1.823,1.547606774006365,0.003401708107262158,0.0044971297956576325,0.002390818816,0.0018152788591038298,A_whole
equil,0.0852099999999999,0.06391,1,1.31258,0.000101,0.00011993185442409484,1.581,1.5229494703880146,0.00434044138494278,0.004489826950527069,0.002227651204,0.0017232855400909463,A_whole
equil,0.09104999999999996,0.06959,1,1.31063,0.000115,0.00013360888741397643,1.494,1.5091159683187962,0.004780087460183852,0.004421934409142054,0.001958859081,0.001677954880115967,A_whole
equil,0.0972599999999999,0.07564,1,1.309,0.000131,0.00014782512678535663,1.474,1.4993675320773079,0.0047213829625189895,0.004339218901335776,0.0017927602809999998,0.0016486267750728109,A_whole
equil,0.10380999999999996,0.08205,1,1.30676,0.000147,0.00016282155262904287,1.472,1.492179391074737,0.004554287410923796,0.0042499643900113055,0.0017039558410000002,0.0016289194847550355,A_whole
equil,0.11068999999999996,0.0888,1,1.30333,0.000163,0.00017884760204856575,1.473,1.4867351318869324,0.0043846091323313996,0.004157901006858451,0.0016573041000000003,0.0016155411318930256,A_whole
equil,0.11785999999999996,0.09586,1,1.3001,0.00018,0.00019522979362782592,1.472,1.480855911085035,0.004252008541573435,0.004080930444077581,0.0016285260250000003,0.0015981899464333547,A_whole
equil,0.12529999999999997,0.10319,1,1.29646,0.000198,0.00021225800925961602,1.47,1.4758609356676209,0.004140269322274066,0.004006819927122103,0.0016088121,0.0015836124438793622,A_whole
equil,0.13296999999999992,0.11076,1,1.29272,0.000215,0.00022970975574894965,1.467,1.4711689685976481,0.004048171146070505,0.003939445282222962,0.001592728281,0.0015692357059225827,A_whole
equil,0.1408299999999999,0.11855,1,1.28899,0.000234,0.00024746079655241693,1.464,1.4667665189173804,0.003970519999210679,0.0038782005971539717,0.0015781550759999998,0.0015551894544131226,A_whole
equil,0.14886999999999995,0.12651,1,1.28518,0.000252,0.00026556548150750986,1.46,1.4627919347202527,0.003901464098654348,0.0038209038708033544,0.001564518916,0.0015423313145987731,A_whole
equil,0.15705999999999998,0.13464,1,1.28123,0.00027,0.0002840274084903971,1.457,1.4592653398220812,0.0038390538203283845,0.0037666557104813403,0.0015518084489999997,0.0015308951514625298,A_whole
equil,0.1653699999999999,0.1429,1,1.27719,0.000289,0.0003027742471173744,1.454,1.4560599732144108,0.003781845227049074,0.0037158246877349644,0.001539856081,0.0015203802487404486,A_whole
equil,0.17379,0.15127,1,1.27326,0.000308,0.0003216423087823666,1.451,1.452916918265777,0.0037305905948378073,0.00366978133662005,0.0015281844640000002,0.0015096382252740557,A_whole
equil,0.1822999999999999,0.15974,1,1.26951,0.000327,0.00034053726041791756,1.448,1.449839943960978,0.003684409902621356,0.0036280641967478535,0.001516790916,0.0014987592495096392,A_whole
equil,0.19089999999999996,0.16831,1,1.26579,0.000346,0.00035959600530443436,1.445,1.4470548548254982,0.00364118801109643,0.0035883980024230327,0.001505828025,0.0014888945973807828,A_whole
equil,0.19955999999999996,0.17694,1,1.26155,0.000366,0.0003793115408999328,1.443,1.4451359895997395,0.003595331316511852,0.0035460187760843085,0.001496838721,0.0014828439696136081,A_whole
equil,0.20828999999999998,0.18565,1,1.258,0.000386,0.0003984909442989024,1.441,1.4423984909715397,0.0035594137109146926,0.003513074151652992,0.0014868735999999999,0.00147260199089459,A_whole
equil,0.21707999999999994,0.19442,1,1.25402,0.000405,0.00041830467658287315,1.439,1.4405213086175765,0.0035203606305453353,0.0034769067659141915,0.001478556304,0.0014662167634860173,A_whole
equil,0.2259199999999999,0.20324,1,1.2503,0.000425,0.0004379760812453578,1.437,1.4384133180946026,0.0034863263625335857,0.0034451822421249427,0.0014701089640000002,0.0014585173716231174,A_whole
equil,0.2347999999999999,0.21211,1,1.24652,0.000445,0.0004578653709523679,1.435,1.4365867140860242,0.0034521548416939145,0.003413999656521873,0.0014624505639999998,0.0014519665497246576,A_whole
equil,0.24373,0.22103,1,1.24266,0.000465,0.0004780262187819455,1.433,1.4349879487648836,0.0034198852129859263,0.0033834176757396575,0.0014554988009999998,0.0014463358090391649,A_whole
equil,0.25268999999999997,0.22999,1,1.23889,0.000485,0.0004982119816423127,1.432,1.4333792983894253,0.0033892597413560594,0.003355017292527181,0.0014487919689999999,0.0014405098989236239,A_whole
equil,0.26169,0.23898,1,1.23533,0.000506,0.0005182722309072629,1.43,1.4316437971574774,0.003361641436497801,0.0033294373835736466,0.001442024676,0.001433950838628874,A_whole
equil,0.27071999999999996,0.24801,1,1.23147,0.000526,0.0005389170614024406,1.429,1.4304527922458765,0.0033326335706220065,0.0033018096889188306,0.0014364100000000002,0.0014298577026278351,A_whole
equil,0.27979,0.25707,1,1.22802,0.000546,0.0005591218713731605,1.428,1.4288072580480349,0.003307619662011769,0.003278931465028831,0.0014302011239999998,0.0014235066823576677,A_whole
equil,0.2888799999999999,0.26616,1,1.22394,0.000568,0.0005804605777534796,1.427,1.4281219760827162,0.003278307425825002,0.0032509234769572217,0.0014258931210000003,0.00142160950655808,A_whole
equil,0.29799999999999993,0.27528,1,1.22067,0.000588,0.0006006544528910773,1.425,1.4263911479352365,0.003257641054856525,0.0032314424943955177,0.0014200838560000002,0.0014146788088474926,A_whole
equil,0.30713999999999997,0.28442,1,1.21683,0.000609,0.0006219651897843353,1.425,1.4256022711207248,0.0032316336776445726,0.003206874218711155,0.0014158663840000002,0.0014121255574704266,A_whole
equil,0.31631,0.29359,1,1.21331,0.00063,0.0006428948835269161,1.423,1.424417165082831,0.0032089750089014423,0.003186128224126814,0.0014112043560000002,0.0014076307675315216,A_whole
equil,0.3254999999999999,0.30278,1,1.20979,0.000651,0.0006639888756239759,1.423,1.4233543101170605,0.0031880472816307906,0.003165697059788887,0.001406850064,0.0014036490026094728,A_whole
equil,0.33470999999999995,0.31199,1,1.20605,0.000673,0.0006856677783769336,1.422,1.4226605644883132,0.003164538246286638,0.0031438209261463895,0.0014033265210000002,0.0014013523999749959,A_whole
equil,0.3439399999999999,0.32122,1,1.20265,0.000694,0.0007068602990498327,1.421,1.4215648029524741,0.0031451214866176887,0.003125574843085858,0.0013992836490000003,0.001397105114651792,A_whole
equil,0.35319,0.33047,1,1.19908,0.000716,0.0007285709593356924,1.42,1.4208042891741774,0.003124928609326262,0.003106032200621952,0.0013958443209999998,0.0013943901181676628,A_whole
